Requirement title,Mandatory / Optional,Full requirement,Control application,Control,Evidence title,Typical evidence,Category,Typical Location,Capabilities,Category,Typical Location,Capabilities,Type of change,Change - priority area,Change - control,Change - evidence title,Change - typical evidence,"Change - other (control type, category, typical location, capabilities)",Reasoning for change,Changelog specification
B006: Prevent unauthorized AI agent actions,Mandatory,Implement safeguards to prevent AI agents from performing actions beyond intended scope and authorized privileges,Supplemental - This may include:,"- Implementing additional safeguards to contain runtime risk. For example, applying sandboxed execution environments with restricted filesystem, network, and credential access for first-party MCP servers; monitoring MCP tool definitions for unauthorized changes after initial approval; providing pre-execution authorization hooks that verify runtime tool calls against defined policy before execution proceeds; or equivalent containment approaches appropriate to the deployment architecture.",B006.3 Config: Execution-level safeguards,"Configuration, documentation or code demonstrating runtime containment controls applied to agents and MCP servers - may include tool definition integrity controls showing how unauthorized post-approval changes are detected, container or VM configuration showing restricted filesystem and network access for first-party MCP servers, pre-execution hook or policy engine configuration showing tool calls are verified at runtime.",Technical Implementation,Engineering Code,Automation,,,,New ,MCP/A2A/multi-agent orchestration,,,,"Supplemental control
Category: Technical Implementation
Typical location: Engineering Code
Capabilities: Automation",Added execution-level containment controls that limit the blast radius when an agent or approved MCP server behaves unexpectedly at runtime,Addition
B007: Enforce user access privileges to AI systems,Mandatory,Establish and maintain user access controls and admin privileges for AI systems in line with policy,Core - This should include:,"- Implementing system-level access controls tailored to AI systems. For example, using role-based or attribute-based access to restrict access to model configuration, training datasets, tool-calling capabilities, or prompt logs, based on job function and system sensitivity.
- Restricting administrative and configuration privileges to authorized personnel. For example, limiting ability to alter system behavior, tools, or models.",B007.1 Config: User access controls,"IAM platform, permission files, or admin panel showing role-based or attribute-based access restrictions for AI system resources (model configurations, training datasets, tool-calling capabilities, prompt logs) - may include IAM role assignments, permission policies, or authorization code validating user permissions before accessing sensitive AI components.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (evidence language),,,,,,,
B007: Enforce user access privileges to AI systems,Mandatory,Establish and maintain user access controls and admin privileges for AI systems in line with policy,Core - This should include:,"- Conducting access reviews and updates at least quarterly. For example, validating access assignments, updating based on policy or role changes,  documenting access changes with AI-specific context (e.g. model access justification, changes to agent capability boundaries, or access to sensitive prompt/response history).",B007.2 Documentation: Access reviews,"Quarterly access review documentation - may include access review meeting notes, tracking records of access changes with justifications, or reports documenting role changes and access modifications based on policy updates.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Not changed,,,,,,,
B008: Protect AI system deployment environment,Mandatory,"Implement security measures for AI system deployment environments including encryption, access controls and authorization",Core - This should include:,"- Implementing AI system access protection. For example, restricting access to production AI systems based on job function and operational need, implementing MFA for model system access, maintaining user access reviews appropriate to organizational size.",B008.1 Config: Model access controls,"IAM configuration, permission settings, or admin panel showing role-based access restrictions for production AI systems covering IAM role assignments restricting model access by job function, MFA configuration for model system access, and access review records validating model permissions.",Technical Implementation,"Engineering Code, Internal processes",Universal,Technical Implementation,"Engineering Code, Internal processes",Universal,Changed existing (content),Other,,,,,Expanded scope of requirement from the AI model only to system,Clarification
B008: Protect AI system deployment environment,Mandatory,"Implement security measures for AI system deployment environments including encryption, access controls and authorization",Core - This should include:,"- Enforcing caller authentication across API endpoints and agentic interfaces. For example, applying scoped API tokens or signed requests for model API access; enforcing OAuth 2.0 or OIDC token validation with appropriate scoping for MCP server connections; implementing mutual authentication for agent-to-agent interfaces.",B008.2 Config: API and agentic interface authentication ,"Configuration or code showing caller authentication controls - may include scoped API token or signed request configuration for model API endpoints, OAuth token scoping or OIDC validation middleware for MCP server connections, or mutual authentication configuration for agent-to-agent interfaces (e.g. A2A protocol authentication config).",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (content),MCP/A2A/multi-agent orchestration,,,,"Core control
Category: Technical Implementation
Typical location: Engineering Code
Capabilities: Universal","Expanded deployment security controls to address MCP and A2A protocols alongside traditional API endpoints, with dedicated controls for authentication, transport security, and message integrity across all agentic interfaces",Revision
B008: Protect AI system deployment environment,Mandatory,"Implement security measures for AI system deployment environments including encryption, access controls and authorization",Core - This should include:,"- Securing data in transit across model API endpoints and agentic interfaces. For example, enforcing TLS for all model API endpoint traffic, MCP server connections, and agent-to-agent communication channels; implementing credential rotation policies for long-lived service connections.",B008.3 Config: API and agentic interface transport security,"Configuration or code showing transport security controls - may include TLS/HTTPS certificate configuration for model API endpoints, MCP server traffic, or agent-to-agent connections,  or credential rotation policy documentation for service-level MCP or A2A connections.",Technical Implementation,Engineering Code,Universal,,,,New ,MCP/A2A/multi-agent orchestration,,,,"Core control
Category: Technical Implementation
Typical location: Engineering Code
Capabilities: Universal","Expanded deployment security controls to address MCP and A2A protocols alongside traditional API endpoints, with dedicated controls for authentication, transport security, and message integrity across all agentic interfaces",Addition
B008: Protect AI system deployment environment,Mandatory,"Implement security measures for AI system deployment environments including encryption, access controls and authorization",Supplemental - This may include:,"- Enforcing data integrity across agentic interfaces. For example, implementing cryptographic message signing for agent-to-agent communication; applying schema validation and input sanitization to MCP tool call inputs and outputs.",B008.4 Config: Agentic interface data integrity ,"Configuration or code showing data integrity controls for agentic interfaces - may include cryptographic message signing configuration for agent-to-agent interfaces (e.g. signed agent cards), or schema validation configuration applied to MCP tool call inputs and outputs.",Technical Implementation,Engineering Code,Universal,,,,New ,MCP/A2A/multi-agent orchestration,,,,"Supplemental control
Category: Technical Implementation
Typical location: Engineering Code
Capabilities: Universal","Expanded deployment security controls to address MCP and A2A protocols alongside traditional API endpoints, with dedicated controls for authentication, transport security, and message integrity across all agentic interfaces",Addition
B008: Protect AI system deployment environment,Mandatory,"Implement security measures for AI system deployment environments including encryption, access controls and authorization",Supplemental - This may include:,"- Securing model hosting environments. For example, using up-to-date and minimal container images, scanning for known vulnerabilities in dependencies and base images, and applying infrastructure-level isolation techniques based on risk level (e.g. container namespaces, VM separation, or dedicated GPU access).",B008.5 Config: Model hosting security,"Container configuration or infrastructure setup for model hosting - may include Dockerfile with minimal base images and up-to-date dependencies, vulnerability scanning results from Trivy or Snyk for container images, or infrastructure configuration showing isolation techniques (container namespaces, VM separation, network policies, dedicated GPU allocation).",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
B008: Protect AI system deployment environment,Mandatory,"Implement security measures for AI system deployment environments including encryption, access controls and authorization",Supplemental - This may include:,"- Verifying model integrity before and during deployment. For example, using cryptographic checksums or signed artifacts to detect tampering, scanning model files for malicious payloads.",B008.6 Config: Model integrity verification,"Deployment pipeline or code implementing model integrity checks - may include cryptographic checksum verification, model artifact signature validation, hash comparison before deployment, model scanning configuration detecting malicious payloads (e.g. Pickle, ONNX) using tools like Cisco's pickle-fuzzer, Trail of Bit's Fickling, or deployment logs recording model version hashes.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
B009: Limit output over-exposure,Mandatory,Implement output limitations and obfuscation techniques to safeguard against information leakage,Core - This should include:,"- Reducing or limiting the number of results shown in outputs to relevant only to balance security and utility. For example, character limits, limits on inference time.",B009.1 Config: Output volume limits,"Code or configuration implementing output restrictions - may include character or token limits, inference time limits, result count restrictions, or timeout configurations preventing excessive output. Can be demonstrated by product demo showing system timeout when requesting output exceeding limits.",Technical Implementation,"Engineering Code, Product","Text-generation, Voice-generation",Technical Implementation,"Engineering Code, Product","Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
B009: Limit output over-exposure,Mandatory,Implement output limitations and obfuscation techniques to safeguard against information leakage,Supplemental - This may include:,- Providing user-facing notices or documentation about output limitations.,B009.2 Demonstration: User output notices,"Product interface showing user notices about output limitations - may include messages indicating truncated or suppressed outputs for security or privacy reasons, user documentation explaining limitation policies, or help articles describing output restrictions.",Operational Practices,Product,"Text-generation, Voice-generation",Operational Practices,Product,"Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
B009: Limit output over-exposure,Mandatory,Implement output limitations and obfuscation techniques to safeguard against information leakage,Supplemental - This may include:,"- Limiting the fidelity of model outputs in certain use cases. For example, applying output rounding, threshold bands, or obfuscation techniques to reduce the risk of model inversion.",B009.3 Config: Output precision controls,"Code implementing output fidelity limitations - may include rounding logic for numerical outputs, threshold bands reducing precision, or obfuscation techniques preventing model inversion, precision-sensitive data disclosure, or adversarial model extraction attacks.",Technical Implementation,Engineering Code,"Text-generation, Voice-generation",Technical Implementation,Engineering Code,"Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
C001: Define AI risk taxonomy,Mandatory,Establish a risk taxonomy based on system capabilites and deployment context,Core - This should include:,"- Defining risk categories with severity levels and examples based on industry and deployment context. For example, classifying harmful outputs such as distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception, identifying other high-risk use cases such as safety-critical instructions, legal recommendations, financial advice.
- Aligning risk taxonomy with external frameworks and standards.
- Establishing severity grading appropriate to organizational context and risk tolerance. For example, implementing consistent scoring methodology across risk categories, defining thresholds for flagging and human review.",C001.1 Documentation: AI risk taxonomy,"Internal policy document, risk framework, or taxonomy defining AI risk categories with severity levels and examples specific to deployment context. Example taxonomies to draw upon include NIST AI RMF functions, EU AI Act article 9, ISO42001 controls.",Operational Practices,Internal policies,Universal,Operational Practices,Internal policies,Universal,Not changed,,,,,,,
C001: Define AI risk taxonomy,Mandatory,Establish a risk taxonomy based on system capabilites and deployment context,Core - This should include:,"- Maintaining taxonomy currency with documented change management. For example, updating based on emerging threats or incidents.",C001.2 Documentation: Risk taxonomy reviews,"Meeting notes, change log, or review documentation showing annnual reviews of the risk taxonomy. Could include review dates, participants, decisions made (categories added/removed/modified, threshold adjustments), rationale for changes, approvals records, and version history showing taxonomy updates over time with timestamps. Can be standalone or part of broader internal audit/review or change management procedures.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Changed existing (content),Other,,,,,Aligned testing frequency to a 12-month cycle consistent with the risk management framework update schedule,Specification
C002: Conduct pre-deployment testing,Mandatory,Conduct internal testing of AI systems prior to deployment across risk categories for system changes requiring formal review or approval,Core - This should include:,"- Conducting pre-deployment testing with documented results and identified issues. For example, structured hallucination testing, adversarial prompting, safety unit tests, and scenario-based walkthroughs.
- Completing risk assessments of identified issues before system deployment. For example, potential impact analysis, mitigation strategies, and residual risk evaluation.
- Obtaining approval sign-offs from designated accountable. For example, documented rationale for approval decisions and maintained records for review purposes.",C002.1 Documentation: Pre-deployment test and approval records,"Test results with identified issues and severity ratings, risk assessment with mitigation decisions, and approval sign-offs with rationale - may be combined in deployment gate documentation or provided as separate documents (e.g., test suite outputs from GitHub Actions/pytest, Jira/Linear tickets with risk assessment and approval, staging environment test reports, deployment checklist with sign-offs).",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Not changed,,,,,,,
C002: Conduct pre-deployment testing,Mandatory,Conduct internal testing of AI systems prior to deployment across risk categories for system changes requiring formal review or approval,Supplemental - This may include:,"- Integrating AI system testing into established software development lifecycle (SDLC) gates. For example, including threat modelling and risk evaluation during design phases, requiring risk evaluation and sign-off at staging or pre-production milestones, aligning with CI/CD or MLOps pipelines, and documenting test artefacts in shared repositories.""",C002.2 Config: SDLC integration,"CI/CD pipeline configuration or workflow showing AI testing integrated as deployment gate - may include GitHub Actions/Jenkins/GitLab CI config files requiring test passage, pull request templates with testing checklists, or branch protection rules enforcing pre-deployment validation.",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Not changed,,,,,,,
C002: Conduct pre-deployment testing,Mandatory,Conduct internal testing of AI systems prior to deployment across risk categories for system changes requiring formal review or approval,Supplemental - This may include:,"- Implementing pre-deployment vulnerability scanning of AI artifacts and dependencies. For example, scanning AI models and ML libraries for security vulnerabilities, validating runtime behavior for unsafe operations, and analyzing outputs for harmful content before deployment.",C002.3 Documentation: Vulnerability scan results,"Security scanning tools or CI/CD pipeline showing vulnerability analysis of AI artifacts and dependencies - may include GitHub/GitLab security tab with dependency alerts, Snyk or Dependabot vulnerability findings, pip-audit or safety check terminal output showing CVE scans, model file scanning results, or CI/CD logs showing security scan execution.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (evidence language),,,,,,,
C003: Prevent harmful outputs,Mandatory,"Implement safeguards or technical controls to prevent harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception",Core - This should include:,"- Implementing content filtering for harmful output types. For example, detecting and blocking distressed responses, angry language, offensive content, biased statements, and deceptive information.",C003.1 Config: Harmful output filtering,"Content filtering rules, moderation API configuration, or classifier settings showing detection and blocking logic for harmful output types - may include filtering rules in code, third-party moderation tool configuration (e.g., OpenAI Moderation API, Perspective API), or custom classifier model settings with harm category definitions.",Technical Implementation,Eng: LLM output filtering logic,"Text-generation, Voice-generation, Image-generation",Technical Implementation,Eng: LLM output filtering logic,"Text-generation, Voice-generation, Image-generation",Changed existing (evidence language),,,,,,,
C003: Prevent harmful outputs,Mandatory,"Implement safeguards or technical controls to prevent harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception",Core - This should include:,"- Implementing guardrails for advice generation. For example, restricting high-risk recommendations in sensitive domains, requiring disclaimers for guidance.",C003.2 Config: Guardrails for high-risk advice,"System prompts, guardrail rules, or domain restrictions showing safety controls on advice generation - may include defensive prompting, domain-specific output restrictions (e.g., medical/legal/financial advice blocklists), or conditional response templates that add warnings for sensitive topics.",Technical Implementation,Engineering Code,"Text-generation, Voice-generation, Image-generation",Technical Implementation,Engineering Code,"Text-generation, Voice-generation, Image-generation",Changed existing (evidence language),,,,,,,
C003: Prevent harmful outputs,Mandatory,"Implement safeguards or technical controls to prevent harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception",Supplemental - This may include:,"- Implementing bias detection and mitigation controls. For example, monitoring for discriminatory patterns, implementing fairness checks in outputs.",C003.3 Config: Guardrails for biased outputs,"Documentation of bias eval results testing for stereotypical responses across demographic attributes, manual review logs documenting bias assessments, or output filtering rules blocking discriminatory patterns - may include automated fairness evaluation tools or bias monitoring dashboards if implemented.",Technical Implementation,Eng: LLM output filtering logic,"Text-generation, Voice-generation, Image-generation",Technical Implementation,Eng: LLM output filtering logic,"Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
C003: Prevent harmful outputs,Mandatory,"Implement safeguards or technical controls to prevent harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception",Supplemental - This may include:,- Evaluating harm mitigation controls using performance metrics.,C003.4 Documentation: Filtering performance benchmarks,"Test results, metrics dashboard, or evaluation report showing performance of harm controls - may include false positive/negative rates, coverage analysis of test scenarios, benchmark results against harm datasets (e.g., ToxiGen, RealToxicityPrompts), or confusion matrices showing filtering accuracy across harm categories.",Operational Practices,Internal processes,"Text-generation, Voice-generation, Image-generation",Operational Practices,Internal processes,"Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
C004: Prevent out-of-scope outputs,Mandatory,"Implement safeguards or technical controls to prevent out-of-scope outputs (e.g. political discussion, healthcare advice)",Core - This should include:,"- Detecting and blocking out-of-scope requests. For example, detecting conversations outside intended use cases, blocking prohibited topics, providing redirection messages when users hit boundaries, and escalating or restricting access for repeated violations.",C004.1 Config: out-of-scope guardrails,"Blocking rules, defensive prompting, or filtering configuration showing how out-of-scope requests are detected and handled - may include topic blocklists, redirection message templates, escalation rules for repeated attempts, or system prompts defining allowed topics.",Technical Implementation,Engineering Code,"Text-generation, Voice-generation",Technical Implementation,Engineering Code,"Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
C004: Prevent out-of-scope outputs,Mandatory,"Implement safeguards or technical controls to prevent out-of-scope outputs (e.g. political discussion, healthcare advice)",Core - This should include:,"- Tracking out-of-scope violations and updating boundaries. For example, logging boundary violations, adjusting restrictions based on misuse patterns.",C004.2 Logs: Out-of-scope attempts,"Logs showing out-of-scope attempts with frequency data. May include documentation of boundary updates made in response to violations, monitoring dashboard of flagged requests, change log showing restriction updates with rationale, or incident reports triggering scope adjustments.",Technical Implementation,Logs,"Text-generation, Voice-generation",Technical Implementation,Logs,"Text-generation, Voice-generation",Not changed,,,,,,,
C004: Prevent out-of-scope outputs,Mandatory,"Implement safeguards or technical controls to prevent out-of-scope outputs (e.g. political discussion, healthcare advice)",Supplemental - This may include:,"- Providing user guidance on system capabilities and limitations. For example, communicating what the AI system can and cannot do, intended use cases, and topics or requests outside the system's scope.",C004.3 Demonstration: User guidance on scope,"User-facing guidance explaining system capabilities and limitations - may include onboarding tooltips or welcome screens, help documentation or FAQs describing intended use, UI warnings when approaching scope boundaries, or published usage guidelines.",Technical Implementation,Product,"Text-generation, Voice-generation",Technical Implementation,Product,"Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
C005: Prevent customer-defined high risk outputs,Mandatory,Implement safeguards or technical controls to prevent additional high risk outputs as defined in risk taxonomy,Core - This should include:,"- Implementing detection and blocking mechanisms aligned with organizational risk taxonomy. For example, deploying filtering based on defined risk categories and severity thresholds.
- Implementing response actions for detected risks. For example, blocking high-severity outputs, flagging medium-risk content for review, logging violations for monitoring and analysis.",C005.1 Config: Risk detection and response,"Filtering rules, system configuration, or code showing detection logic mapped to AI risk taxonomy categories and corresponding response actions per severity level - may include risk classifiers with block/flag/log rules, content moderation API configuration defining actions by risk type, or defensive prompting.",Technical Implementation,Eng: LLM output filtering logic,Universal,Technical Implementation,Eng: LLM output filtering logic,Universal,Changed existing (evidence language),,,,,,,
C005: Prevent customer-defined high risk outputs,Mandatory,Implement safeguards or technical controls to prevent additional high risk outputs as defined in risk taxonomy,Supplemental - This may include:,"- Establishing escalation procedures for flagged high-risk content. For example, defining when human review is required and establishing approval workflows for edge cases.",C005.2 Documentation: Human review workflows,"Documentation or workflow configuration showing human review and escalation procedures for flagged content - may include runbook defining escalation criteria and review SLAs, workflow diagram showing approval process, or ticketing system configuration (Jira, Linear) with content review queues and assignment rules.",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Not changed,,,,,,,
C005: Prevent customer-defined high risk outputs,Mandatory,Implement safeguards or technical controls to prevent additional high risk outputs as defined in risk taxonomy,Supplemental - This may include:,"- Implementing automated real-time interventions. For example, blocking or modifying outputs based on severity.",C005.3 Config: Automated response mechanisms,"Code or system configuration showing automated response mechanisms - may include logic blocking or modifying outputs based on risk scores, or dynamic warning messages triggered by content flags.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
C006: Prevent output vulnerabilities,Mandatory,Implement safeguards to prevent security vulnerabilities in outputs from impacting users,Core - This should include:,"- Establishing output sanitization and validation procedures before presenting content to users. For example, encoding or stripping potentially malicious content, validating structured outputs against safe schemas, blocking unsafe URLs, and enforcing secure rendering modes.",C006.1 Config: Output sanitization,"Code or configuration implementing output sanitization - may include HTML/JavaScript/shell syntax encoding functions, URL validation or rewriting rules blocking unsafe links, schema validation checking structured outputs (JSON/YAML/XML) against whitelists, CSP header configuration, or template rendering with auto-escaping enabled.",Technical Implementation,Engineering Code,"Text-generation, Voice-generation, Code-generation",Technical Implementation,Engineering Code,Universal,Changed existing (content),Other,,,,Code-generation,Clarified that the control is in scope for code-generating AI agents,Clarification
C006: Prevent output vulnerabilities,Mandatory,Implement safeguards to prevent security vulnerabilities in outputs from impacting users,Core - This should include:,"- Implementing security labeling and content handling based on trust level. For example, marking untrusted or third-party content, distinguishing external data from system-generated content, and applying differentiated security controls based on content source.",C006.2 Demonstration: Warning labels for untrusted content,"UI or code showing trust-based content handling - may include visual indicators marking third-party content (badges, styling, warning icons), metadata tags tracking content source and trust level, or code applying conditional security controls based on content origin (e.g., stricter sanitization for external sources).",Technical Implementation,Product,"Text-generation, Voice-generation, Code-generation",Technical Implementation,Product,Universal,Changed existing (content),Other,,,,Code-generation,Clarified that the control is in scope for code-generating AI agents,Clarification
C006: Prevent output vulnerabilities,Mandatory,Implement safeguards to prevent security vulnerabilities in outputs from impacting users,Supplemental - This may include:,"- Detecting advanced output-based attack patterns. For example, identifying prompt injection attempts, model subversion techniques, payloads targeting downstream systems, or obfuscated exploits designed to bypass filters.",C006.3 Config: Adversarial output detection,"Detection rules or monitoring system identifying advanced attack patterns in outputs - may include pattern matching for prompt injection chains or jailbreak tokens, payload signature scanning detecting command injection or SQL queries, or anomaly detection flagging obfuscated exploits bypassing basic filters.",Technical Implementation,Eng: LLM output filtering logic,"Text-generation, Voice-generation, Code-generation",Technical Implementation,Eng: LLM output filtering logic,Universal,Changed existing (content),Other,,,,Code-generation,Clarified that the control is in scope for code-generating AI agents,Clarification
C007: Flag high risk outputs for human review,Optional,Implement an alerting system that flags high-risk outputs for human review,Core - This should include:,- Defining high-risk output criteria drawing on risk taxonomy.,C007.1 Documentation: Definition of high-risk output criteria,"Document or policy defining high-risk outputs requiring human review - should specify criteria for flagging (e.g. financial advice thresholds, medical/legal/safety domains, reputational harm triggers). Can be standalone or included in existing AI risk taxonomy/AI risk policy.",Operational Practices,Internal policies,Universal,Operational Practices,Internal policies,Universal,Changed existing (content),Other,,,,,Expanded requirement scope from recommendations to generalized outputs,Clarification
C007: Flag high risk outputs for human review,Optional,Implement an alerting system that flags high-risk outputs for human review,Core - This should include:,"- Implementing automated detection mechanisms for high-risk outputs. For example, using content filtering, risk scoring, or classification models to identify outputs requiring review or flagging.",C007.2 Config: High-risk detection mechanisms,"Detection code, configuration file, or rules engine showing high-risk output filtering - may include keyword lists or regex patterns flagging sensitive topics, scoring logic assigning risk values to recommendations, if/then rules defining high-risk conditions, ML model configuration (e.g., classification thresholds in config.yaml), or API response showing confidence scores with risk thresholds.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
C007: Flag high risk outputs for human review,Optional,Implement an alerting system that flags high-risk outputs for human review,Supplemental - This may include:,"- Establishing human review workflows for flagged high-risk outputs. For example, assigning reviewers, defining escalation procedures for complex cases, managing review queues with response time tracking, documenting review decisions, and reviewing workflow effectiveness regularly.",C007.3 Documentation: Human review workflows,"Workflow documentation or ticketing system configuration showing human review process for flagged outputs - may include runbook with reviewer assignments and escalation paths, queue management in Jira/Linear/support ticketing with pending review tracking, SLA targets for review response times, or procedure document defining review decision documentation requirements.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Changed existing (content),Other,,,,,"Included example of auditing human review workflows (i.e., checking the effectiveness of oversight over time) to mitigate against ‘automation bias’ 

",Revision
C008: Monitor AI risk categories,Optional,Implement monitoring of AI systems across risk categories,Core - This should include:,"- Establishing ongoing monitoring of AI outputs across risk categories. For example, conducting regular evaluations prioritized by risk severity, sampling outputs for review, and tracking system behavior patterns.",C008.1 Logs: AI risk monitoring,"Monitoring dashboard, logging system, or evaluation reports showing ongoing AI output tracking - may include output sampling logs with review results, behavior trace logs showing system patterns, prompt-response logging configuration, evaluation schedules prioritized by risk severity, or monitoring metrics dashboard tracking trends over time.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (evidence language),,,,,,,
C008: Monitor AI risk categories,Optional,Implement monitoring of AI systems across risk categories,Supplemental - This may include:,"- Maintaining documentation. For example, recording identified scenarios with clear examples, updating risk taxonomy based on monitoring findings and incidents.",C008.2 Documentation: Monitoring findings,"Document or change log showing identified risk scenarios with examples - may include incident reports triggering taxonomy changes, risk scenario database with concrete examples, or version history of risk taxonomy showing updates with rationale linked to monitoring findings.",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Not changed,,,,,,,
C008: Monitor AI risk categories,Optional,Implement monitoring of AI systems across risk categories,Supplemental - This may include:,"- Integrating AI output monitoring with existing security tools. For example, forwarding alerts and flagged outputs to SIEM platforms, applying standard logging formats (e.g. JSON, syslog) to support automated threat detection workflows.",C008.4 Config: Security tooling,"Monitoring dashboard, logging system, or evaluation reports showing ongoing AI output tracking - may include output sampling logs with review results, behavior trace logs showing system patterns, prompt-response logging configuration, evaluation schedules prioritized by risk severity, or monitoring metrics dashboard tracking trends over time.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (evidence language),,,,,,,
C009: Enable real-time feedback and intervention,Optional,Implement mechanisms to enable real-time user feedback collection and intervention mechanisms,Core - This should include:,"- Enabling user intervention capabilities. For example, providing mechanisms for users to pause, stop, or redirect system behavior, implementing feedback collection tools for users to report issues or concerns, ensuring technical controls persist across devices and interaction contexts.
- Ensuring accessibility of feedback and intervention mechanisms. For example, adhering to WCAG 2.1 standards for color contrast, screen reader compatibility, keyboard navigation, and clear messaging for users with disabilities.",C009.1 Demonstration: User intervention mechanisms,"Intervention controls (stop/pause/redirect buttons, feedback forms, issue reporting mechanisms) with accessibility features integrated (e.g. keyboard navigation, high contrast modes, screen reader labels)",Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Changed existing (evidence language),,,,,,,
C009: Enable real-time feedback and intervention,Optional,Implement mechanisms to enable real-time user feedback collection and intervention mechanisms,Supplemental - This may include:,"- Reviewing user feedback and intervention logs at regular intervals, analyzing findings using structured methodologies (e.g., categorizing by risk domain, frequency, and severity), and integrating corrective actions into product backlogs or compliance workflows, with records maintained for traceability.",C009.2 Documentation: User feedback & intervention reviews,"Logs, reports, or dashboard showing review, analysis and actioning of user feedback and intervention patterns - may include feedback summary reports, intervention frequency analysis, categorization by risk domain, documentation of system changes made in response to patterns, or integration with product backlog/compliance workflows.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Changed existing (content),Other,,,,,"Included practical validation and actioning of relevant user feedback, and streamlined three controls into one",Clarification
C010: Third-party testing for harmful outputs,Mandatory,"Appoint expert third parties to evaluate system robustness to harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception at least every 3 months",Core - This should include:,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including performing assessments of harmful outputs at least every quarter, defining testing scope and methodologies based on risk classifications and industry benchmarks like ToxiGen, coordinating with internal security and testing teams.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",C010.1 Report: Harmful output testing,"Third-party evaluation report showing harmful output testing - must include documentation of assessor qualifications, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Third-party Evals,Third-party evaluation report,"Text-generation, Voice-generation, Image-generation",Third-party Evals,Third-party evaluation report,"Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
C011: Third-party testing for out-of-scope outputs,Mandatory,"Appoint expert third parties to evaluate system robustness to out-of-scope outputs at least every 3 months (e.g. political discussion, healthcare advice)",Core - This should include:,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of out-of-scope outputs at least every quarter. 
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",C011.1 Report: Out-of-scope output testing,"Third-party evaluation report showing out-of-scope output testing - must include documentation of assessor qualifications, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Third-party Evals,Third-party evaluation report,"Text-generation, Voice-generation",Third-party Evals,Third-party evaluation report,"Text-generation, Voice-generation",Not changed,,,,,,,
